22:27:22
1000
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
7.08|270:181|190:130
7.09|270:181|190:130
7.1|268:177|191:127
7.11|268:177|191:127
7.12|267:173|191:124
7.13|267:173|191:124
7.14|267:173|191:124
7.15|267:173|191:124
7.16|267:168|192:120
7.17|267:168|192:120
7.18|266:163|192:117
7.19|266:163|192:117
7.2|265:160|192:113
7.21|265:160|192:113
7.22|265:160|192:113
7.23|263:154|193:110
7.24|263:154|193:110
7.25|263:150|196:106
7.26|263:150|196:106
7.27|263:147|197:103
7.28|263:147|197:103
7.29|263:147|197:103
7.3|263:147|197:103
7.31|263:147|197:103
7.32|261:144|198:101
7.33|261:144|198:101
7.34|262:142|199:98
7.35|262:142|199:98
7.36|259:141|200:96
7.37|259:141|200:96
7.38|259:138|202:94
7.39|259:138|202:94
7.4|259:138|202:94
7.41|259:138|202:94
7.42|259:140|204:89
7.43|259:140|204:89
7.44|259:140|204:89
7.45|259:140|204:89
7.46|260:141|205:89
7.47|260:141|205:89
7.48|258:143|206:89
7.49|258:143|206:89
7.5|261:142|206:89
7.51|261:142|206:89
7.52|262:143|206:89
7.53|262:143|206:89
7.54|262:148|206:90
7.55|262:148|206:90
7.56|265:150|205:92
7.57|265:150|205:92
7.58|265:150|205:92
7.59|265:150|205:92
7.6|269:153|205:94
7.61|269:153|205:94
7.62|271:156|203:97
7.63|271:156|203:97
7.64|271:156|203:97
7.65|273:160|200:100
7.66|273:160|200:100
7.67|276:164|197:102
7.68|276:164|197:102
7.69|276:164|197:102
7.7|276:164|197:102
7.71|277:172|191:109
7.72|277:172|191:109
7.73|277:172|191:109
7.74|277:172|191:109
7.75|275:178|190:112
7.76|275:178|190:112
7.77|275:178|190:112
7.78|271:186|192:116
7.79|271:186|192:116
7.8|270:190|194:120
7.81|270:190|194:120
7.82|267:197|196:125
7.83|267:197|196:125
7.84|267:197|196:125
7.85|267:197|196:125
7.86|261:211|198:135
7.87|261:211|198:135
7.88|261:211|198:135
7.89|261:211|198:135
7.9|259:218|200:140
7.91|259:218|200:140
7.92|256:225|200:146
7.93|256:225|200:146
7.94|254:232|200:153
7.95|254:232|200:153
7.96|254:232|200:153
7.97|252:236|201:160
7.98|252:236|201:160
