19:18:33
3.15  -  x: 498, y: 437  |  x: 498, y: 437
3.16  -  x: 498, y: 437  |  x: 498, y: 437
3.17  -  x: 498, y: 437  |  x: 498, y: 437
3.18  -  x: 498, y: 437  |  x: 498, y: 437
3.19  -  x: 490, y: 444  |  x: 490, y: 444
3.2  -  x: 490, y: 444  |  x: 490, y: 444
3.21  -  x: 490, y: 444  |  x: 490, y: 444
3.22  -  x: 494, y: 439  |  x: 494, y: 439
3.23  -  x: 494, y: 439  |  x: 494, y: 439
3.24  -  x: 494, y: 439  |  x: 494, y: 439
3.25  -  x: 512, y: 422  |  x: 512, y: 422
3.26  -  x: 512, y: 422  |  x: 512, y: 422
3.27  -  x: 512, y: 422  |  x: 512, y: 422
3.28  -  x: 512, y: 422  |  x: 512, y: 422
3.29  -  x: 512, y: 422  |  x: 512, y: 422
3.3  -  x: 491, y: 442  |  x: 491, y: 442
3.31  -  x: 491, y: 442  |  x: 491, y: 442
3.32  -  x: 491, y: 442  |  x: 491, y: 442
3.33  -  x: 493, y: 440  |  x: 493, y: 440
3.34  -  x: 493, y: 440  |  x: 493, y: 440
3.35  -  x: 493, y: 440  |  x: 493, y: 440
3.36  -  x: 497, y: 443  |  x: 497, y: 443
3.37  -  x: 497, y: 443  |  x: 497, y: 443
3.38  -  x: 497, y: 443  |  x: 497, y: 443
3.39  -  x: 497, y: 443  |  x: 497, y: 443
3.4  -  x: 497, y: 443  |  x: 497, y: 443
3.41  -  x: 497, y: 443  |  x: 497, y: 443
3.42  -  x: 497, y: 443  |  x: 497, y: 443
3.43  -  x: 497, y: 442  |  x: 497, y: 442
3.44  -  x: 497, y: 442  |  x: 497, y: 442
3.45  -  x: 497, y: 442  |  x: 497, y: 442
3.46  -  x: 493, y: 444  |  x: 493, y: 444
3.47  -  x: 493, y: 444  |  x: 493, y: 444
3.48  -  x: 493, y: 444  |  x: 493, y: 444
3.49  -  x: 506, y: 448  |  x: 506, y: 448
3.5  -  x: 506, y: 448  |  x: 506, y: 448
3.51  -  x: 506, y: 448  |  x: 506, y: 448
3.52  -  x: 506, y: 448  |  x: 506, y: 448
3.53  -  x: 506, y: 448  |  x: 506, y: 448
3.54  -  x: 506, y: 448  |  x: 506, y: 448
3.55  -  x: 506, y: 448  |  x: 506, y: 448
3.56  -  x: 506, y: 448  |  x: 506, y: 448
3.57  -  x: 501, y: 434  |  x: 501, y: 434
3.58  -  x: 501, y: 434  |  x: 501, y: 434
3.59  -  x: 501, y: 434  |  x: 501, y: 434
3.6  -  x: 511, y: 423  |  x: 511, y: 423
3.61  -  x: 511, y: 423  |  x: 511, y: 423
3.62  -  x: 511, y: 423  |  x: 511, y: 423
3.63  -  x: 511, y: 423  |  x: 511, y: 423
3.64  -  x: 511, y: 423  |  x: 511, y: 423
3.65  -  x: 511, y: 423  |  x: 511, y: 423
3.66  -  x: 512, y: 422  |  x: 512, y: 422
3.67  -  x: 512, y: 422  |  x: 512, y: 422
3.68  -  x: 512, y: 422  |  x: 512, y: 422
3.69  -  x: 516, y: 426  |  x: 516, y: 426
3.7  -  x: 516, y: 426  |  x: 516, y: 426
3.71  -  x: 516, y: 426  |  x: 516, y: 426
3.72  -  x: 492, y: 441  |  x: 492, y: 441
3.73  -  x: 492, y: 441  |  x: 492, y: 441
3.74  -  x: 492, y: 441  |  x: 492, y: 441
3.75  -  x: 484, y: 448  |  x: 484, y: 448
3.76  -  x: 484, y: 448  |  x: 484, y: 448
3.77  -  x: 484, y: 448  |  x: 484, y: 448
3.78  -  x: 484, y: 448  |  x: 484, y: 448
3.79  -  x: 484, y: 448  |  x: 484, y: 448
3.8  -  x: 484, y: 448  |  x: 484, y: 448
3.81  -  x: 488, y: 446  |  x: 488, y: 446
3.82  -  x: 488, y: 446  |  x: 488, y: 446
3.83  -  x: 488, y: 446  |  x: 488, y: 446
3.84  -  x: 488, y: 446  |  x: 488, y: 446
3.85  -  x: 488, y: 446  |  x: 488, y: 446
3.86  -  x: 488, y: 446  |  x: 488, y: 446
3.87  -  x: 488, y: 446  |  x: 488, y: 446
3.88  -  x: 493, y: 443  |  x: 493, y: 443
3.89  -  x: 493, y: 443  |  x: 493, y: 443
3.9  -  x: 497, y: 442  |  x: 497, y: 442
3.91  -  x: 497, y: 442  |  x: 497, y: 442
3.92  -  x: 497, y: 442  |  x: 497, y: 442
3.93  -  x: 497, y: 442  |  x: 497, y: 442
3.94  -  x: 504, y: 439  |  x: 504, y: 439
3.95  -  x: 504, y: 439  |  x: 504, y: 439
3.96  -  x: 504, y: 441  |  x: 504, y: 441
3.97  -  x: 504, y: 441  |  x: 504, y: 441
3.98  -  x: 504, y: 441  |  x: 504, y: 441
3.99  -  x: 504, y: 441  |  x: 504, y: 441
4  -  x: 504, y: 441  |  x: 504, y: 441
4.01  -  x: 504, y: 441  |  x: 504, y: 441
4.02  -  x: 506, y: 440  |  x: 506, y: 440
4.03  -  x: 506, y: 440  |  x: 506, y: 440
4.04  -  x: 506, y: 440  |  x: 506, y: 440
4.05  -  x: 506, y: 439  |  x: 506, y: 439
4.06  -  x: 506, y: 439  |  x: 506, y: 439
4.07  -  x: 506, y: 439  |  x: 506, y: 439
4.08  -  x: 507, y: 441  |  x: 507, y: 441
4.09  -  x: 507, y: 441  |  x: 507, y: 441
4.1  -  x: 507, y: 441  |  x: 507, y: 441
4.11  -  x: 507, y: 441  |  x: 507, y: 441
4.12  -  x: 507, y: 441  |  x: 507, y: 441
4.13  -  x: 507, y: 441  |  x: 507, y: 441
4.14  -  x: 507, y: 441  |  x: 507, y: 441
4.15  -  x: 509, y: 438  |  x: 509, y: 438
4.16  -  x: 509, y: 438  |  x: 509, y: 438
4.17  -  x: 509, y: 438  |  x: 509, y: 438
4.18  -  x: 510, y: 435  |  x: 510, y: 435
4.19  -  x: 510, y: 435  |  x: 510, y: 435
4.2  -  x: 510, y: 435  |  x: 510, y: 435
4.21  -  x: 511, y: 437  |  x: 511, y: 437
4.22  -  x: 511, y: 437  |  x: 511, y: 437
4.23  -  x: 511, y: 437  |  x: 511, y: 437
4.24  -  x: 510, y: 438  |  x: 510, y: 438
4.25  -  x: 510, y: 438  |  x: 510, y: 438
4.26  -  x: 510, y: 438  |  x: 510, y: 438
4.27  -  x: 511, y: 437  |  x: 511, y: 437
4.28  -  x: 511, y: 437  |  x: 511, y: 437
4.29  -  x: 511, y: 437  |  x: 511, y: 437
4.3  -  x: 510, y: 435  |  x: 510, y: 435
4.31  -  x: 510, y: 435  |  x: 510, y: 435
4.32  -  x: 510, y: 435  |  x: 510, y: 435
4.33  -  x: 512, y: 437  |  x: 512, y: 437
4.34  -  x: 512, y: 437  |  x: 512, y: 437
4.35  -  x: 512, y: 437  |  x: 512, y: 437
4.36  -  x: 512, y: 437  |  x: 512, y: 437
4.37  -  x: 512, y: 437  |  x: 512, y: 437
4.38  -  x: 512, y: 437  |  x: 512, y: 437
4.39  -  x: 512, y: 438  |  x: 512, y: 438
4.4  -  x: 512, y: 438  |  x: 512, y: 438
4.41  -  x: 513, y: 434  |  x: 513, y: 434
4.42  -  x: 513, y: 434  |  x: 513, y: 434
4.43  -  x: 513, y: 434  |  x: 513, y: 434
4.44  -  x: 513, y: 437  |  x: 513, y: 437
4.45  -  x: 513, y: 437  |  x: 513, y: 437
4.46  -  x: 513, y: 437  |  x: 513, y: 437
