19:49:49
Time [s]    Obiekt 1       Obiekt 2
2.4  -  x: 517, y: 439  |  x: 517, y: 439
2.41  -  x: 517, y: 439  |  x: 517, y: 439
2.42  -  x: 517, y: 439  |  x: 517, y: 439
2.43  -  x: 519, y: 439  |  x: 519, y: 439
2.44  -  x: 519, y: 439  |  x: 519, y: 439
2.45  -  x: 519, y: 439  |  x: 519, y: 439
2.46  -  x: 519, y: 439  |  x: 519, y: 439
2.47  -  x: 519, y: 439  |  x: 519, y: 439
2.48  -  x: 520, y: 439  |  x: 520, y: 439
2.49  -  x: 520, y: 439  |  x: 520, y: 439
2.5  -  x: 520, y: 439  |  x: 520, y: 439
2.51  -  x: 520, y: 439  |  x: 520, y: 439
2.52  -  x: 519, y: 438  |  x: 519, y: 438
2.53  -  x: 519, y: 438  |  x: 519, y: 438
2.54  -  x: 520, y: 441  |  x: 520, y: 441
2.55  -  x: 520, y: 441  |  x: 520, y: 441
2.56  -  x: 520, y: 441  |  x: 520, y: 441
2.57  -  x: 520, y: 441  |  x: 520, y: 441
2.58  -  x: 520, y: 441  |  x: 520, y: 441
2.59  -  x: 520, y: 441  |  x: 520, y: 441
2.6  -  x: 519, y: 440  |  x: 519, y: 440
2.61  -  x: 519, y: 440  |  x: 519, y: 440
2.62  -  x: 519, y: 440  |  x: 519, y: 440
2.63  -  x: 516, y: 440  |  x: 516, y: 440
2.64  -  x: 516, y: 440  |  x: 516, y: 440
2.65  -  x: 516, y: 440  |  x: 516, y: 440
2.66  -  x: 516, y: 440  |  x: 516, y: 440
2.67  -  x: 516, y: 440  |  x: 516, y: 440
2.68  -  x: 516, y: 440  |  x: 516, y: 440
2.69  -  x: 516, y: 440  |  x: 516, y: 440
2.7  -  x: 521, y: 439  |  x: 521, y: 439
2.71  -  x: 521, y: 439  |  x: 521, y: 439
2.72  -  x: 521, y: 439  |  x: 521, y: 439
2.73  -  x: 521, y: 439  |  x: 521, y: 439
2.74  -  x: 521, y: 439  |  x: 521, y: 439
2.75  -  x: 519, y: 441  |  x: 519, y: 441
2.76  -  x: 519, y: 441  |  x: 519, y: 441
2.77  -  x: 519, y: 441  |  x: 519, y: 441
2.78  -  x: 520, y: 441  |  x: 520, y: 441
2.79  -  x: 520, y: 441  |  x: 520, y: 441
2.8  -  x: 520, y: 441  |  x: 520, y: 441
2.81  -  x: 520, y: 441  |  x: 520, y: 441
2.82  -  x: 520, y: 441  |  x: 520, y: 441
2.83  -  x: 520, y: 441  |  x: 520, y: 441
2.84  -  x: 520, y: 441  |  x: 520, y: 441
2.85  -  x: 520, y: 441  |  x: 520, y: 441
2.86  -  x: 520, y: 441  |  x: 520, y: 441
2.87  -  x: 519, y: 441  |  x: 519, y: 441
2.88  -  x: 519, y: 441  |  x: 519, y: 441
2.89  -  x: 519, y: 441  |  x: 519, y: 441
2.9  -  x: 519, y: 441  |  x: 519, y: 441
2.91  -  x: 519, y: 441  |  x: 519, y: 441
2.92  -  x: 519, y: 441  |  x: 519, y: 441
2.93  -  x: 519, y: 441  |  x: 519, y: 441
2.94  -  x: 519, y: 442  |  x: 519, y: 442
