20:37:41
100
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
5.91|127:214|232:339
5.92|127:214|232:338
5.93|127:214|232:338
5.94|122:216|232:338
5.95|122:216|237:339
5.96|122:216|237:339
5.97|123:215|237:339
5.98|123:215|242:338
5.99|123:215|242:338
6|123:215|242:338
6.01|123:215|242:338
6.02|137:213|242:338
6.03|137:213|246:340
6.04|137:213|246:340
6.05|131:213|246:340
6.06|131:213|251:339
6.07|131:213|251:339
6.08|133:213|251:339
6.09|133:213|258:334
6.1|133:213|258:334
6.11|146:210|258:334
6.12|146:210|263:340
6.13|146:210|263:340
6.14|146:210|263:340
6.15|146:210|263:340
6.16|146:210|263:340
6.17|158:206|263:340
6.18|158:206|270:336
6.19|158:206|270:336
6.2|157:210|270:336
6.21|157:210|278:343
6.22|157:210|278:343
6.23|157:210|278:343
6.24|157:210|278:343
6.25|157:210|278:343
6.26|153:213|278:343
6.27|153:213|286:341
6.28|168:209|286:341
6.29|168:209|294:345
6.3|168:209|294:345
6.31|168:209|294:345
6.32|168:209|294:345
6.33|168:209|294:345
6.34|177:206|294:345
6.35|177:206|305:346
6.36|177:206|305:346
6.37|188:209|305:346
6.38|188:209|317:348
6.39|188:209|317:348
6.4|191:206|317:348
6.41|191:206|328:350
6.42|191:206|328:350
6.43|191:206|328:350
6.44|191:206|328:350
6.45|191:206|328:350
6.46|195:208|328:350
6.47|195:208|339:350
6.48|195:208|339:350
6.49|206:209|339:350
6.5|206:209|351:351
6.51|206:209|351:351
6.52|210:207|362:351
6.53|210:207|362:351
6.54|212:207|362:351
6.55|212:207|364:351
6.56|212:207|364:351
6.57|223:206|364:351
6.58|223:206|375:352
6.59|223:206|375:352
6.6|226:209|375:352
6.61|226:209|386:352
6.62|226:209|386:352
6.63|226:209|386:352
6.64|226:209|386:352
6.65|226:209|386:352
6.66|233:207|386:352
6.67|233:207|398:353
6.68|233:207|398:353
6.69|237:208|398:353
6.7|237:208|408:354
6.71|237:208|408:354
6.72|237:208|408:354
6.73|237:208|410:352
6.74|237:208|410:352
6.75|235:208|410:352
6.76|235:208|422:352
6.77|235:208|422:352
6.78|258:209|422:352
6.79|258:209|433:351
6.8|258:209|433:351
6.81|270:207|433:351
6.82|270:207|433:351
6.83|269:209|433:351
6.84|269:209|433:351
6.85|269:209|433:351
6.86|269:209|433:351
6.87|269:209|459:331
6.88|269:209|459:331
6.89|279:207|459:331
6.9|279:207|464:338
6.91|279:207|464:338
6.92|272:208|464:338
6.93|272:208|464:338
6.94|272:208|464:338
6.95|272:208|464:338
6.96|272:208|479:343
6.97|272:208|479:343
6.98|290:207|479:343
6.99|290:207|483:341
7|290:207|483:341
7.01|291:209|483:341
